children,name,value
BC,,
01 - Vancouver Island,BC,
02 - Lower Mainland,BC,
03 - Southern Interior,BC,
04 - Kootenay,BC,
05 - Cariboo,BC,
06 - Skeena,BC,
07 - Omineca-Peace,BC,
Courtenay Elementary School,01 - Vancouver Island,491868.4279
Victoria Topaz,01 - Vancouver Island,704662.8418
Victoria James Bay The Reef,01 - Vancouver Island,995.6699186
Nanaimo Labieux Road,01 - Vancouver Island,595203.2993
Colwood City Hall,01 - Vancouver Island,548568.4881
Duncan College Street,01 - Vancouver Island,522259.0201
Crofton Elementary,01 - Vancouver Island,9925.141338
Maple Ridge Golden Ears School,02 - Lower Mainland,717792.2491
Mission School Works Yard,02 - Lower Mainland,679578.3934
Whistler Meadow Park,02 - Lower Mainland,530100.3647
North Burnaby Capitol Hill,02 - Lower Mainland,7007.483285
North Delta,02 - Lower Mainland,699898.0264
North Vancouver Mahon Park,02 - Lower Mainland,861457.2164
North Vancouver Second Narrows,02 - Lower Mainland,1159160.657
Pitt Meadows Meadowlands School,02 - Lower Mainland,789929.6559
Abbotsford A Columbia Street,02 - Lower Mainland,682008.8333
Langley Central,02 - Lower Mainland,617668.1712
Powell River Wildwood,02 - Lower Mainland,23160.0688
Richmond South,02 - Lower Mainland,1048404.329
Squamish Elementary,02 - Lower Mainland,591227.5172
Surrey East,02 - Lower Mainland,770703.6191
Tsawwassen,02 - Lower Mainland,670125.2535
Vancouver Clark Drive,02 - Lower Mainland,1730455.29
Vancouver International Airport #2,02 - Lower Mainland,821905.4499
Vancouver Pandora Park,02 - Lower Mainland,8800.914138
Vancouver Robson Square,02 - Lower Mainland,1195687.222
Port Moody Rocky Point Park,02 - Lower Mainland,842841.9952
Langdale Elementary,02 - Lower Mainland,190657.2526
New Westminster Sapperton Park,02 - Lower Mainland,1172500.909
Burnaby Mountain,02 - Lower Mainland,746027.2884
Burnaby South,02 - Lower Mainland,854027.418
Coquitlam Douglas College,02 - Lower Mainland,749997.9627
Burnaby North Eton,02 - Lower Mainland,8736.513935
Burnaby Kensington Park,02 - Lower Mainland,765820.2791
Hope Airport,02 - Lower Mainland,618815.9425
Horseshoe Bay,02 - Lower Mainland,2039.646725
Chilliwack Airport,02 - Lower Mainland,742601.532
Abbotsford Central,02 - Lower Mainland,729161.8103
Agassiz Municipal Hall,02 - Lower Mainland,718863.6853
Vernon Science Centre,03 - Southern Interior,811225.3725
Kamloops Federal Building,03 - Southern Interior,907426.3289
Kelowna College,03 - Southern Interior,172051.1021
Kelowna KLO Road,03 - Southern Interior,385882.2462
Birchbank Golf Course,04 - Kootenay,86421.40821
Trail Columbia Gardens Airport,04 - Kootenay,49771.62952
Cranbrook Muriel Baxter,04 - Kootenay,576137.0752
Trail Butler Park,04 - Kootenay,108276.0011
Warfield Elementary,04 - Kootenay,128217.8631
Castlegar Zinio Park,04 - Kootenay,561259.1622
Quesnel Senior Secondary,05 - Cariboo,468907.8434
Quesnel Kinchant St MAML,05 - Cariboo,175874.946
Williams Lake Columneetza School,05 - Cariboo,654701.3355
Terrace Skeena Middle School,06 - Skeena,457504.2081
Smithers Muheim Memorial,06 - Skeena,582447.7832
Kitimat Riverlodge,06 - Skeena,8240.930145
Prince Rupert Fairview,06 - Skeena,565937.3587
Kitimat Whitesail,06 - Skeena,291485.1715
Kitimat Haul Road,06 - Skeena,72345.80524
Kitimat Haisla Village,06 - Skeena,4285.145305
Kitimat Industrial Ave,06 - Skeena,6065.028775
Hudsons Hope Dudley Drive,07 - Omineca-Peace,22516.07884
Bessborough 237 Road,07 - Omineca-Peace,7279.364244
Fort St John North Camp C,07 - Omineca-Peace,172504.9969
Fort St John Key Learning Centre,07 - Omineca-Peace,544564.4726
Prince George Plaza 400,07 - Omineca-Peace,862963.3396
Farmington Community Hall,07 - Omineca-Peace,539726.5213
Prince George CBC Transmitter,07 - Omineca-Peace,45640.22587
Prince George Jail,07 - Omineca-Peace,48969.91124
Taylor Townsite,07 - Omineca-Peace,691710.1423
Taylor South Hill,07 - Omineca-Peace,6130.808291
Prince George Marsulex Acid Plant,07 - Omineca-Peace,14803.84289
Pine River Hasler,07 - Omineca-Peace,4889.023599
Pine River Gas Plant,07 - Omineca-Peace,40867.00881